"Department","Date","StaffedHours","AvailableHours","AUXHours","OtherHours","TargetSL","WithinServiceLevel","SLGoal","SL","TotalCalls","ASA","AvgACDTime"
"Fire Admin Tech",2021-05-11,14.8572222222222,7.69361111111111,1.6075,2.88083333333333,65,71,0.65,0.71,54,52.1224479675,3.7866666158
"Fire Admin Tech",2021-05-12,13.6413888888889,7.43805555555556,0.495277777777778,1.905,65,82,0.65,0.82,49,32.3125,4.42619069416667
"Fire Admin Tech",2021-05-13,22.2402777777778,10.2016666666667,6.58777777777778,2.13083333333333,65,92,0.65,0.92,52,17.0400009155,3.91145833333333
"Fire Admin Tech",2021-05-14,22.2311111111111,11.5147222222222,6.76611111111111,1.44555555555556,65,0,0.65,0,0,0,2.78633321126667
"Fire Admin Tech",2021-05-15,0,0,0,0,65,0,0.65,0,0,0,0
"Fire Admin Tech",2021-05-16,0,0,0,0,65,71,0.65,0.71,60,59.8421058655,0
"Fire Admin Tech",2021-05-17,14.93,8.43138888888889,0.0761111111111111,2.38222222222222,65,83,0.65,0.83,65,23.446428299,4.02163747151667
"Fire Admin Tech",2021-05-18,22.1383333333333,9.41333333333333,6.94388888888889,2.68916666666667,65,79,0.65,0.79,70,45.4769248962,3.08869043986667
"Fire Admin Tech",2021-05-19,14.7927777777778,8.87888888888889,0.240277777777778,1.75138888888889,65,82,0.65,0.82,62,30.8620681763,3.35871785481667
"Fire Admin Tech",2021-05-20,15.0108333333333,9.66388888888889,1.18361111111111,1.005,65,86,0.65,0.86,50,19.8958339691,3.03764368693333
"Fire Admin Tech",2021-05-21,13.8594444444444,9.29583333333333,0.373333333333333,1.48333333333333,65,0,0.65,0,0,0,3.13506952921667
"Fire Admin Tech",2021-05-22,0,0,0,0,65,0,0.65,0,0,0,0
"Fire Admin Tech",2021-05-23,0,0,0,0,65,70,0.65,0.7,70,52.2424240112,0
"Fire Admin Tech",2021-05-24,14.99,8.69138888888889,0.310833333333333,2.63361111111111,65,71,0.65,0.71,75,75.1159439087,2.82045466105
"Fire Admin Tech",2021-05-25,18.7419444444444,7.10944444444444,4.81944444444444,2.40861111111111,65,62,0.65,0.62,63,57.1694908142,3.60579706828333
"Fire Admin Tech",2021-05-26,22.2508333333333,9.28388888888889,6.42555555555556,3.29972222222222,65,82,0.65,0.82,60,59.8703689575,3.07062149048333
"Fire Admin Tech",2021-05-27,22.3883333333333,10.6986111111111,6.75861111111111,2.15472222222222,65,72,0.65,0.72,47,83.4545440674,2.8530863444
"Fire Admin Tech",2021-05-28,22.4847222222222,10.2447222222222,6.82555555555556,2.45416666666667,65,0,0.65,0,0,0,3.8155303955
